RAZÃO SOCIAL;NOME FANTASIA;CNPJ;NATUREZA JURIDICA;DATA INICIO OPERAÇÃO;PORTE;SITUAÇÃO;TIPO ATIVIDADE;SUBTIPO ATIVIDADE;CEP;UF;LOCALIDADE;BAIRRO;LOGRADOURO;TELEFONE;FAX;E-MAIL2;E-MAIL3;SITE;DATA GERAÇÃO CERTIFICADO;DATA VALIDADE CERTIFICADO;CÓDIGO CERTIFICADO;CÓDIGO E DESCRIÇÃO CNAE;ÁREA TOTAL DO ESTABELECIMENTO;AMBIENTAÇÃO;VOLUME DE ÁGUA;ESTRUTURA;LINGUAS;SERVIÇOS
A CÉLIA BARROS;ENZO PARK;04.422.806/0001-29;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;65200000;MA;Pinheiro;Pinheiro;AVENIDA PRINCIPAL 770 BAIRRO PACAS;(98) 3381-5318;(98) 3381-2436;magazinevieira@bol.com.br;;www.enzopark.com.br;2015-04-09 10:37:13.184;2017-04-09;10.041696.65.0001-6;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário), 8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";15,000;;2,000,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
ÁGUAS CORRENTES SAIA VELHA LTDA - EPP;ÁGUAS CORRENTES SAIA VELHA;01.979.230/0001-07;Sociedade Empresária;07/05/1997;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;72880000;GO;Cidade Ocidental;Cidade Ocidental;FAZENDA A TOCA DO LOBO BR 040 KM 05 S/N ZONA RURAL;(61) 3627-0064;(61) 3627-0064;gloliveira@aguascorrentes.com.br;alexmeireles@aguascorrentes.com.br;www.aguascorrentes.com.br;2014-10-01 17:10:40.493;2016-10-01;09.050626.65.0001-6;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";57,000;;6,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
ARGONAUTA COMÉRCIO E SERVIÇOS OCEANOGRÁFICOS LTDA - EPP;ARGONAUTA COMÉRCIO E SERVIÇOS OCEANOGRÁFICOS LTDA - EPP;00.643.743/0001-80;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;11680000;SP;Ubatuba;Ubatuba;AV. NOVE DE JULHO, 680;(12) 3834-1382;(12) 3834-1389;hugo@aquariodeubatuba.com.br;ea@aquariodeubatuba.com.br;www.aquariodeubatuba.com.br;2015-10-20 14:23:48.164;2017-10-20;26.058146.65.0001-4;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";1,541;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
ASSOCIAÇÃO ATLETICA BANCO DO BRASIL;AABB;01.823.996/0001-06;Serviço Social Autônomo;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;76100000;GO;São Luís de Montes Belos;São Luís de Montes Belos;CHACARA SANTANA SETOR RODOVIÁRIO;(64) 3671-1206;;saoluisdemontesbelos@aabnb.com.br;;;2015-06-30 10:13:27.86;2017-06-30;09.071846.65.0001-1;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";48,000;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
BEACH PARK HOTÉIS E TURISMO S/A;*****************************************;11.805.397/0001-05;Sociedade Empresária;22/07/1987;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;61700000;CE;Aquiraz;Aquiraz;LOC PORTO DAS DUNAS, Nº 2734;(85) 4012-3022;;danielrodrigues@beachpark.com.br;rafaela@beachpark.com.br;www.beachpark.com.br;2015-09-15 10:33:54.931;2017-09-15;06.007082.65.0001-0;"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";2,000;;9,999,999;<UnknownType (2,002)>;<UnknownType (2,002)>;
BOLASHOW COMPLEXO DE ESPORTES E LAZER - EIRELI;ACQUA SHOW FAMILY PARK;21.204.373/0001-54;Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;48730000;BA;Conceição do Coité;Conceição do Coité;RODOVIA COITE A SANTA ROSA, Nº 419, BAIRRO CASAS POPULARES;(75) 3262-1975;(75) 3262-1975;ramos-contabilidade@hotmail.com;;;2015-12-11 17:13:31.381;2017-12-11;05.075630.65.0001-1;"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário)";13,068;;500,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
CAMPO 7 AMIGOS AREA DE LAZER LTDA - ME;CAMPO 7 AMIGOS;06.045.573/0001-18;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;93950000;RS;Dois Irmãos;Dois Irmãos;R ALBERTO RUBENICH 855;(51) 3564-1097;;dguth06@gmail.com;;;2016-04-04 15:10:00.291;2018-04-04;23.077730.65.0001-4;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";55,000;;48,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
CENTRO DE TURISMO  SOCIAL E LAZER DE GUARAPARI;CTSLG;05.305.785/0005-58;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;29215000;ES;Guarapari;Muquiçaba;RODOVIA DO SOL, N 01 ES 060;(27) 3221-1401;(27) 3221-1404;ctg-recepcao@es.sesc.com.br;;www.sesc-es.com.br;2015-02-25 14:38:33.373;2017-02-25;08.029776.65.0005-0;"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 9329-8/99-JOGO DE SNOOKER; EXPLORAÇÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";105;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
CENTRO DE TURISMO  SOCIAL E LAZER DE PRAIA FORMOSA .;CENTRO DE TURISMO SOCIAL E LAZER DE PRAIA FORMOSA .;05.305.785/0004-77;Serviço Social Autônomo;01/05/2009;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;29199548;ES;Aracruz;Vila Santa Cruz (Vila Santa Cruz);RODOVIA DO SOL, S/N ES 010 - KM 35;(27) 3250-6999;(27) 3250-6999;ctpf-excursoes@es.sesc.com.br;;;2015-02-25 15:40:47.486;2017-02-25;08.029775.65.0004-6;"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5510-8/01-HOTEL (Secundário)";105;;2,800;<UnknownType (2,002)>;<UnknownType (2,002)>;
CHALÉ POUSADA TURISMO E LAZER LTDA;HOTEL FAZENDA  CHINA  PARK;08.026.472/0001-25;Empresa Individual (EIRELI);01/08/2006;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;29260000;ES;Domingos Martins;Domingos Martins;ROD BR 262 KM 72;(27) 3288-4141;;vania@parquedochina.com.br;valdeir@parquedochina.com.br;WWW.PARQUEDOCHINA.COM.BR;2015-10-22 16:50:51.471;2017-10-22;08.029323.65.0001-6;"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";60,000;;400;<UnknownType (2,002)>;<UnknownType (2,002)>;
