"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
"3A LOCAÇÕES LTDA - EPP";"3A LOCADORA";"06.291.731/0001-10";"Sociedade Empresária";"01/06/2004";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59066220;"RN";"Natal";"Candelária";"RUA JOSÉ AGNALDO DE BARROS, 2870";"(84) 4008-9984";"(84) 3234-8100";"administrativo@3alocadora.com.br";"";"www.3alocadora.com.br";"29/07/2015";"29/07/2017";"20.037602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"("""")";3
"3A LOCAÇÕES LTDA - EPP";"3A LOCADORA";"06.291.731/0001-10";"Sociedade Empresária";"01/06/2004";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59066220;"RN";"Natal";"Candelária";"RUA JOSÉ AGNALDO DE BARROS, 2870";"(84) 4008-9984";"(84) 3234-8100";"administrativo@3alocadora.com.br";"";"www.3alocadora.com.br";"29/07/2015";"29/07/2017";"20.037602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"("""")";9
"3A LOCAÇÕES LTDA - EPP";"3A LOCADORA";"06.291.731/0001-10";"Sociedade Empresária";"01/06/2004";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59066220;"RN";"Natal";"Candelária";"RUA JOSÉ AGNALDO DE BARROS, 2870";"(84) 4008-9984";"(84) 3234-8100";"administrativo@3alocadora.com.br";"";"www.3alocadora.com.br";"29/07/2015";"29/07/2017";"20.037602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"("""")";18
"3A LOCAÇÕES LTDA - EPP";"3A LOCADORA";"06.291.731/0001-10";"Sociedade Empresária";"01/06/2004";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59066220;"RN";"Natal";"Candelária";"RUA JOSÉ AGNALDO DE BARROS, 2870";"(84) 4008-9984";"(84) 3234-8100";"administrativo@3alocadora.com.br";"";"www.3alocadora.com.br";"29/07/2015";"29/07/2017";"20.037602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"("""")";20
"3A LOCAÇÕES LTDA - EPP";"3A LOCADORA";"06.291.731/0001-10";"Sociedade Empresária";"01/06/2004";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59066220;"RN";"Natal";"Candelária";"RUA JOSÉ AGNALDO DE BARROS, 2870";"(84) 4008-9984";"(84) 3234-8100";"administrativo@3alocadora.com.br";"";"www.3alocadora.com.br";"29/07/2015";"29/07/2017";"20.037602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"("""")";150
"4FRIENDS TRANSPORTE TURISTICO E LOCAÇÃO LTDA-ME";"4FRIENDES TURISMO";"17.328.472/0001-70";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";22750635;"RJ";"Rio de Janeiro";"Jacarepaguá";"RUA PROFESSOR ANDRADE MURICY, 130";"(21) 3596-6112";"";"4friendesturismo@gmail.com";"";"";"16/01/2015";"16/01/2017";"19.068599.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"A B SOUZA FILHO TURISMO E LOCAÇÃO - ME";"TONYTUR TURISMO E LOCAÇÃO";"19.387.466/0001-10";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57470000;"AL";"Olho D'Água do Casado";"Olho D'Água do Casado";"AV. DESB. WASHINGTON LUIZ, 119 - A";"(82) 8866-6616";"";"nytssabezerra@hotmail.com";"";"";"16/12/2015";"16/12/2017";"02.060127.85.0001-3";"4929-9/04-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERESTADUAL (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";1
"A B SOUZA FILHO TURISMO E LOCAÇÃO - ME";"TONYTUR TURISMO E LOCAÇÃO";"19.387.466/0001-10";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57470000;"AL";"Olho D'Água do Casado";"Olho D'Água do Casado";"AV. DESB. WASHINGTON LUIZ, 119 - A";"(82) 8866-6616";"";"nytssabezerra@hotmail.com";"";"";"16/12/2015";"16/12/2017";"02.060127.85.0001-3";"4929-9/04-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERESTADUAL (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";3
"A C DE OLIVEIRA TUR - LOCADORA DE VEICULOS";"A C DE OLIVEIRA TUR - LOCADORA DE VEICULOS";"16.435.849/0001-28";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";7142590;"SP";"Guarulhos";"Parque Mikail";"RUA NATAL DEL BUONI 66";"(11) 4386-1107";"";"orlandodiorio@hotmail.com";"";"";"02/03/2016";"02/03/2018";"26.076989.85.0001-0";"7711-0/00-LOCADORA DE CARROS (Primário)";"(""Nenhuma das Opções"")";2
"A DA SILVA SANTOS TRANSPORTES - ME";"A F  TRANSPORTES";"07.831.918/0001-21";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";44135000;"BA";"Humildes";"Humildes";"RUA NOSSA SENHORA DOS HUMILDES 135";"(75) 9906-6126";"(75) 3683-1252";"andreyson2011@hotmail.com";"andresiele2012_@hotmail.com";"";"17/06/2015";"17/06/2017";"05.071569.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";1
